GoldenEye (1995),01-Jan-1995
Muppet Treasure Island (1996),16-Feb-1996
Rumble in the Bronx (1995),23-Feb-1996
Batman Forever (1995),01-Jan-1995
Free Willy 2: The Adventure Home (1995),01-Jan-1995
Star Wars (1977),01-Jan-1977
Stargate (1994),01-Jan-1994
Free Willy (1993),01-Jan-1993
Jurassic Park (1993),01-Jan-1993
Dances with Wolves (1990),01-Jan-1990
Heavy Metal (1981),08-Mar-1981
Operation Dumbo Drop (1995),01-Jan-1995
Flipper (1996),10-May-1996
"Rock, The (1996)",07-Jun-1996
Twister (1996),10-May-1996
"Wizard of Oz, The (1939)",01-Jan-1939
Homeward Bound: The Incredible Journey (1993),01-Jan-1993
"20,000 Leagues Under the Sea (1954)",01-Jan-1954
Bedknobs and Broomsticks (1971),01-Jan-1971
"Ghost and the Darkness, The (1996)",11-Oct-1996
Willy Wonka and the Chocolate Factory (1971),01-Jan-1971
"Abyss, The (1989)",01-Jan-1989
"Empire Strikes Back, The (1980)",01-Jan-1980
"Princess Bride, The (1987)",01-Jan-1987
Raiders of the Lost Ark (1981),01-Jan-1981
Return of the Jedi (1983),14-Mar-1997
Army of Darkness (1993),01-Jan-1993
Evil Dead II (1987),01-Jan-1987
Akira (1988),01-Jan-1988
Indiana Jones and the Last Crusade (1989),01-Jan-1989
Star Trek: First Contact (1996),22-Nov-1996
Star Trek VI: The Undiscovered Country (1991),01-Jan-1991
Star Trek: The Wrath of Khan (1982),01-Jan-1982
Star Trek III: The Search for Spock (1984),01-Jan-1984
Star Trek IV: The Voyage Home (1986),01-Jan-1986
Batman Returns (1992),01-Jan-1992
Turbo: A Power Rangers Movie (1997),28-Mar-1997
"Lost World: Jurassic Park, The (1997)",23-May-1997
Batman & Robin (1997),20-Jun-1997
Men in Black (1997),04-Jul-1997
Kull the Conqueror (1997),29-Aug-1997
Starship Troopers (1997),01-Jan-1997
Fly Away Home (1996),13-Sep-1996
"Edge, The (1997)",26-Sep-1997
Sphere (1998),13-Feb-1998
Spawn (1997),01-Aug-1997
Judge Dredd (1995),01-Jan-1995
Star Trek: Generations (1994),01-Jan-1994
True Lies (1994),01-Jan-1994
Black Beauty (1994),01-Jan-1994
Super Mario Bros. (1993),01-Jan-1993
"Three Musketeers, The (1993)",01-Jan-1993
Batman (1989),01-Jan-1989
Mission: Impossible (1996),22-May-1996
Highlander (1986),01-Jan-1986
Star Trek: The Motion Picture (1979),01-Jan-1979
Star Trek V: The Final Frontier (1989),01-Jan-1989
Free Willy 3: The Rescue (1997),08-Aug-1997
"Secret of Roan Inish, The (1994)",01-Jan-1994
"Jungle Book, The (1994)",01-Jan-1994
Dragonheart (1996),31-May-1996
"Adventures of Robin Hood, The (1938)",01-Jan-1938
Around the World in 80 Days (1956),01-Jan-1956
"African Queen, The (1951)",01-Jan-1951
Fly Away Home (1996),13-Sep-1996
Lawrence of Arabia (1962),01-Jan-1962
"Treasure of the Sierra Madre, The (1948)",01-Jan-1948
"Great Escape, The (1963)",01-Jan-1963
Ben-Hur (1959),01-Jan-1959
"Man Who Would Be King, The (1975)",01-Jan-1975
Mortal Kombat (1995),01-Jan-1995
Waterworld (1995),01-Jan-1995
"Kid in King Arthur's Court, A (1995)",01-Jan-1995
"Quick and the Dead, The (1995)",01-Jan-1995
Clear and Present Danger (1994),01-Jan-1994
Cliffhanger (1993),01-Jan-1993
For Whom the Bell Tolls (1943),01-Jan-1943
Swiss Family Robinson (1960),01-Jan-1960
Escape from New York (1981),01-Jan-1981
Stand by Me (1986),01-Jan-1986
Conan the Barbarian (1981),01-Jan-1981
Kull the Conqueror (1997),29-Aug-1997
First Knight (1995),01-Jan-1995
Jumanji (1995),01-Jan-1995
Casper (1995),01-Jan-1995
Congo (1995),01-Jan-1995
Hard Target (1993),01-Jan-1993
Andre (1994),01-Jan-1994
Space Jam (1996),15-Nov-1996
"Phantom, The (1996)",07-Jun-1996
Daylight (1996),06-Dec-1996
Alaska (1996),21-Aug-1996
Fled (1996),19-Jul-1996
Escape from L.A. (1996),09-Aug-1996
Jingle All the Way (1996),22-Nov-1996
Excess Baggage (1997),01-Jan-1997
Mortal Kombat: Annihilation (1997),01-Jan-1997
Time Tracers (1995),01-Jan-1995
"City of Lost Children, The (1995)",01-Jan-1995
White Squall (1996),01-Jan-1996
Chain Reaction (1996),31-Jul-1996
"Big Blue, The (Grand bleu, Le) (1988)",01-Jan-1988
"Indian in the Cupboard, The (1995)",01-Jan-1995
Maximum Risk (1996),13-Sep-1996
Hercules (1997),27-Jun-1997
Anaconda (1997),11-Apr-1997
Con Air (1997),06-Jun-1997
Lassie (1994),01-Jan-1994
Homeward Bound II: Lost in San Francisco (1996),08-Mar-1996
"Quest, The (1996)",26-Apr-1996
"War, The (1994)",01-Jan-1994
