Toy Story (1995),01-Jan-1995
"Lion King, The (1994)",01-Jan-1994
Aladdin (1992),01-Jan-1992
Snow White and the Seven Dwarfs (1937),01-Jan-1937
Heavy Metal (1981),08-Mar-1981
"Aristocats, The (1970)",01-Jan-1970
All Dogs Go to Heaven 2 (1996),29-Mar-1996
Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996
"Wrong Trousers, The (1993)",01-Jan-1993
"Grand Day Out, A (1992)",01-Jan-1992
Akira (1988),01-Jan-1988
Beavis and Butt-head Do America (1996),20-Dec-1996
Pinocchio (1940),01-Jan-1940
"Close Shave, A (1995)",28-Apr-1996
Cinderella (1950),01-Jan-1950
Alice in Wonderland (1951),01-Jan-1951
Aladdin and the King of Thieves (1996),01-Jan-1996
"Transformers: The Movie, The (1986)",01-Jan-1986
Fantasia (1940),01-Jan-1940
James and the Giant Peach (1996),12-Apr-1996
Dumbo (1941),01-Jan-1941
Anastasia (1997),01-Jan-1997
Pocahontas (1995),01-Jan-1995
Beauty and the Beast (1991),01-Jan-1991
"Hunchback of Notre Dame, The (1996)",21-Jun-1996
"Three Caballeros, The (1945)",01-Jan-1945
"Sword in the Stone, The (1963)",01-Jan-1963
Space Jam (1996),15-Nov-1996
"Fox and the Hound, The (1981)",01-Jan-1981
Winnie the Pooh and the Blustery Day (1968),01-Jan-1968
Cats Don't Dance (1997),26-Mar-1997
Hercules (1997),27-Jun-1997
Balto (1995),01-Jan-1995
"Pagemaster, The (1994)",01-Jan-1994
Oliver & Company (1988),29-Mar-1988
Pete's Dragon (1977),01-Jan-1977
"Goofy Movie, A (1995)",01-Jan-1995
Ghost in the Shell (Kokaku kidotai) (1995),12-Apr-1996
Faust (1994),01-Jan-1994
"Swan Princess, The (1994)",01-Jan-1994
Land Before Time III: The Time of the Great Giving (1995) (V),01-Jan-1995
Gumby: The Movie (1995),01-Jan-1995
