Toy Story (1995),01-Jan-1995
Babe (1995),01-Jan-1995
Free Willy 2: The Adventure Home (1995),01-Jan-1995
"Santa Clause, The (1994)",01-Jan-1994
"Lion King, The (1994)",01-Jan-1994
Free Willy (1993),01-Jan-1993
"Nightmare Before Christmas, The (1993)",01-Jan-1993
Home Alone (1990),01-Jan-1990
Aladdin (1992),01-Jan-1992
Snow White and the Seven Dwarfs (1937),01-Jan-1937
"Aristocats, The (1970)",01-Jan-1970
All Dogs Go to Heaven 2 (1996),29-Mar-1996
Flipper (1996),10-May-1996
"Wizard of Oz, The (1939)",01-Jan-1939
D3: The Mighty Ducks (1996),04-Oct-1996
"Love Bug, The (1969)",01-Jan-1969
Homeward Bound: The Incredible Journey (1993),01-Jan-1993
"20,000 Leagues Under the Sea (1954)",01-Jan-1954
Bedknobs and Broomsticks (1971),01-Jan-1971
Willy Wonka and the Chocolate Factory (1971),01-Jan-1971
101 Dalmatians (1996),27-Nov-1996
Jungle2Jungle (1997),07-Mar-1997
Turbo: A Power Rangers Movie (1997),28-Mar-1997
George of the Jungle (1997),01-Jan-1997
Air Bud (1997),01-Aug-1997
Fly Away Home (1996),13-Sep-1996
FairyTale: A True Story (1997),01-Jan-1997
3 Ninjas: High Noon At Mega Mountain (1998),01-Jan-1997
Mighty Morphin Power Rangers: The Movie (1995),01-Jan-1995
Heavyweights (1994),01-Jan-1994
"Flintstones, The (1994)",01-Jan-1994
Black Beauty (1994),01-Jan-1994
Super Mario Bros. (1993),01-Jan-1993
"Little Rascals, The (1994)",01-Jan-1994
Pinocchio (1940),01-Jan-1940
"Apple Dumpling Gang, The (1975)",01-Jan-1975
Old Yeller (1957),01-Jan-1957
"Parent Trap, The (1961)",01-Jan-1961
Cinderella (1950),01-Jan-1950
Mary Poppins (1964),01-Jan-1964
Alice in Wonderland (1951),01-Jan-1951
Aladdin and the King of Thieves (1996),01-Jan-1996
E.T. the Extra-Terrestrial (1982),01-Jan-1982
"Transformers: The Movie, The (1986)",01-Jan-1986
Fantasia (1940),01-Jan-1940
Free Willy 3: The Rescue (1997),08-Aug-1997
"Jungle Book, The (1994)",01-Jan-1994
James and the Giant Peach (1996),12-Apr-1996
Matilda (1996),02-Aug-1996
Fly Away Home (1996),13-Sep-1996
Dumbo (1941),01-Jan-1941
Anastasia (1997),01-Jan-1997
Mouse Hunt (1997),01-Jan-1997
Pocahontas (1995),01-Jan-1995
"NeverEnding Story III, The (1994)",02-Feb-1996
"Kid in King Arthur's Court, A (1995)",01-Jan-1995
"Secret Garden, The (1993)",01-Jan-1993
Beauty and the Beast (1991),01-Jan-1991
"Hunchback of Notre Dame, The (1996)",21-Jun-1996
Daniel Defoe's Robinson Crusoe (1996),01-Jan-1996
Swiss Family Robinson (1960),01-Jan-1960
Angels in the Outfield (1994),01-Jan-1994
"Three Caballeros, The (1945)",01-Jan-1945
"Sword in the Stone, The (1963)",01-Jan-1963
So Dear to My Heart (1949),01-Jan-1949
Fluke (1995),01-Jan-1995
Jumanji (1995),01-Jan-1995
Casper (1995),01-Jan-1995
"Baby-Sitters Club, The (1995)",01-Jan-1995
Richie Rich (1994),01-Jan-1994
Andre (1994),01-Jan-1994
Space Jam (1996),15-Nov-1996
Alaska (1996),21-Aug-1996
Bogus (1996),06-Sep-1996
Pollyanna (1960),01-Jan-1960
"Shaggy Dog, The (1959)",01-Jan-1959
Jingle All the Way (1996),22-Nov-1996
That Darn Cat! (1997),14-Feb-1997
Flubber (1997),01-Jan-1997
Home Alone 3 (1997),01-Jan-1997
Harriet the Spy (1996),03-Jul-1996
First Kid (1996),30-Aug-1996
"Fox and the Hound, The (1981)",01-Jan-1981
"Indian in the Cupboard, The (1995)",01-Jan-1995
Winnie the Pooh and the Blustery Day (1968),01-Jan-1968
Cats Don't Dance (1997),26-Mar-1997
Hercules (1997),27-Jun-1997
"Big Green, The (1995)",01-Jan-1995
That Darn Cat! (1997),14-Feb-1997
Shiloh (1997),23-May-1997
Lassie (1994),01-Jan-1994
Little Big League (1994),01-Jan-1994
Homeward Bound II: Lost in San Francisco (1996),08-Mar-1996
"Adventures of Pinocchio, The (1996)",26-Jul-1996
"Little Princess, A (1995)",01-Jan-1995
Balto (1995),01-Jan-1995
"Pagemaster, The (1994)",01-Jan-1994
Oliver & Company (1988),29-Mar-1988
Pete's Dragon (1977),01-Jan-1977
Escape to Witch Mountain (1975),01-Jan-1975
Zeus and Roxanne (1997),10-Jan-1997
Kim (1950),01-Jan-1950
"Goofy Movie, A (1995)",01-Jan-1995
Wild America (1997),04-Jul-1997
"Simple Wish, A (1997)",11-Jul-1997
Star Kid (1997),16-Jan-1998
Kazaam (1996),17-Jul-1996
"Second Jungle Book: Mowgli & Baloo, The (1997)",16-May-1997
"Swan Princess, The (1994)",01-Jan-1994
Land Before Time III: The Time of the Great Giving (1995) (V),01-Jan-1995
"Next Karate Kid, The (1994)",01-Jan-1994
That Darn Cat! (1965),01-Jan-1965
Tom and Huck (1995),01-Jan-1995
Gumby: The Movie (1995),01-Jan-1995
"Little Princess, The (1939)",01-Jan-1939
Herbie Rides Again (1974),01-Jan-1974
Gold Diggers: The Secret of Bear Mountain (1995),01-Jan-1995
Far From Home: The Adventures of Yellow Dog (1995),01-Jan-1995
"Amazing Panda Adventure, The (1995)",01-Jan-1995
"Secret Adventures of Tom Thumb, The (1993)",01-Jan-1993
Buddy (1997),06-Jun-1997
Warriors of Virtue (1997),02-May-1997
