Toy Story (1995),01-Jan-1995
Get Shorty (1995),01-Jan-1995
Babe (1995),01-Jan-1995
Mighty Aphrodite (1995),30-Oct-1995
French Twist (Gazon maudit) (1995),01-Jan-1995
From Dusk Till Dawn (1996),05-Feb-1996
Muppet Treasure Island (1996),16-Feb-1996
"Birdcage, The (1996)",08-Mar-1996
"Brothers McMullen, The (1995)",01-Jan-1995
Batman Forever (1995),01-Jan-1995
"Doom Generation, The (1995)",01-Jan-1995
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995
Billy Madison (1995),01-Jan-1995
Clerks (1994),01-Jan-1994
Eat Drink Man Woman (1994),01-Jan-1994
Ed Wood (1994),01-Jan-1994
I.Q. (1994),01-Jan-1994
"Santa Clause, The (1994)",01-Jan-1994
What's Eating Gilbert Grape (1993),01-Jan-1993
While You Were Sleeping (1995),01-Jan-1995
Ace Ventura: Pet Detective (1994),01-Jan-1994
Forrest Gump (1994),01-Jan-1994
Four Weddings and a Funeral (1994),01-Jan-1994
"Mask, The (1994)",01-Jan-1994
Maverick (1994),01-Jan-1994
Faster Pussycat! Kill! Kill! (1965),01-Jan-1965
Hot Shots! Part Deux (1993),01-Jan-1993
"Hudsucker Proxy, The (1994)",01-Jan-1994
Much Ado About Nothing (1993),01-Jan-1993
"Ref, The (1994)",01-Jan-1994
Sleepless in Seattle (1993),01-Jan-1993
So I Married an Axe Murderer (1993),01-Jan-1993
"Nightmare Before Christmas, The (1993)",01-Jan-1993
Welcome to the Dollhouse (1995),24-May-1996
Home Alone (1990),01-Jan-1990
Aladdin (1992),01-Jan-1992
Theodore Rex (1995),29-Mar-1996
Sgt. Bilko (1996),29-Mar-1996
Kids in the Hall: Brain Candy (1996),12-Apr-1996
Mystery Science Theater 3000: The Movie (1996),19-Apr-1996
Operation Dumbo Drop (1995),01-Jan-1995
"Truth About Cats & Dogs, The (1996)",26-Apr-1996
Cold Comfort Farm (1995),23-Apr-1996
Striptease (1996),28-Jun-1996
"Cable Guy, The (1996)",14-Jun-1996
"Frighteners, The (1996)",19-Jul-1996
D3: The Mighty Ducks (1996),04-Oct-1996
"Love Bug, The (1969)",01-Jan-1969
Swingers (1996),18-Oct-1996
Willy Wonka and the Chocolate Factory (1971),01-Jan-1971
Sleeper (1973),01-Jan-1973
"Fish Called Wanda, A (1988)",01-Jan-1988
Monty Python's Life of Brian (1979),01-Jan-1979
Weekend at Bernie's (1989),01-Jan-1989
"Return of the Pink Panther, The (1974)",01-Jan-1974
Private Benjamin (1980),01-Jan-1980
Monty Python and the Holy Grail (1974),01-Jan-1974
"Wrong Trousers, The (1993)",01-Jan-1993
Cinema Paradiso (1988),01-Jan-1988
Delicatessen (1991),01-Jan-1991
"Princess Bride, The (1987)",01-Jan-1987
Army of Darkness (1993),01-Jan-1993
"Blues Brothers, The (1980)",01-Jan-1980
"Grand Day Out, A (1992)",01-Jan-1992
"Sting, The (1973)",01-Jan-1973
Evil Dead II (1987),01-Jan-1987
Groundhog Day (1993),01-Jan-1993
Back to the Future (1985),01-Jan-1985
Young Frankenstein (1974),01-Jan-1974
This Is Spinal Tap (1984),01-Jan-1984
M*A*S*H (1970),01-Jan-1970
When Harry Met Sally... (1989),01-Jan-1989
"Mirror Has Two Faces, The (1996)",15-Nov-1996
101 Dalmatians (1996),27-Nov-1996
Batman Returns (1992),01-Jan-1992
Young Guns (1988),01-Jan-1988
Mars Attacks! (1996),13-Dec-1996
Citizen Ruth (1996),13-Dec-1996
Raising Arizona (1987),01-Jan-1987
Beavis and Butt-head Do America (1996),20-Dec-1996
Kolya (1996),24-Jan-1997
Jungle2Jungle (1997),07-Mar-1997
Grosse Pointe Blank (1997),11-Apr-1997
Austin Powers: International Man of Mystery (1997),02-May-1997
Shall We Dance? (1996),11-Jul-1997
My Best Friend's Wedding (1997),20-Jun-1997
When the Cats Away (Chacun cherche son chat) (1996),20-Jun-1997
Men in Black (1997),04-Jul-1997
George of the Jungle (1997),01-Jan-1997
Air Bud (1997),01-Aug-1997
"Full Monty, The (1997)",01-Jan-1997
Sabrina (1995),01-Jan-1995
Tin Cup (1996),16-Aug-1996
Fierce Creatures (1997),10-Jan-1997
Liar Liar (1997),21-Mar-1997
In & Out (1997),19-Sep-1997
Midnight in the Garden of Good and Evil (1997),01-Jan-1997
As Good As It Gets (1997),23-Dec-1997
Everyone Says I Love You (1996),06-Dec-1996
Mother (1996),25-Dec-1996
How to Be a Player (1997),01-Jan-1997
"House of Yes, The (1997)",01-Jan-1997
Bean (1997),01-Jan-1997
Critical Care (1997),01-Jan-1997
"Man Who Knew Too Little, The (1997)",01-Jan-1997
Deconstructing Harry (1997),01-Jan-1997
Wag the Dog (1997),09-Jan-1998
Spice World (1997),01-Jan-1997
"Wedding Singer, The (1998)",13-Feb-1998
Blues Brothers 2000 (1998),06-Feb-1998
Ace Ventura: When Nature Calls (1995),01-Jan-1995
Clueless (1995),01-Jan-1995
Bio-Dome (1996),01-Jan-1996
Black Sheep (1996),02-Feb-1996
Jeffrey (1995),01-Jan-1995
Houseguest (1994),01-Jan-1994
Heavyweights (1994),01-Jan-1994
Muriel's Wedding (1994),01-Jan-1994
"Adventures of Priscilla, Queen of the Desert, The (1994)",01-Jan-1994
"Flintstones, The (1994)",01-Jan-1994
Naked Gun 33 1/3: The Final Insult (1994),01-Jan-1994
True Lies (1994),01-Jan-1994
Addams Family Values (1993),01-Jan-1993
Beverly Hills Cop III (1994),01-Jan-1994
Fear of a Black Hat (1993),01-Jan-1993
Last Action Hero (1993),01-Jan-1993
Mrs. Doubtfire (1993),01-Jan-1993
Radioland Murders (1994),01-Jan-1994
Robin Hood: Men in Tights (1993),01-Jan-1993
Serial Mom (1994),01-Jan-1994
"Three Musketeers, The (1993)",01-Jan-1993
"Little Rascals, The (1994)",01-Jan-1994
"Brady Bunch Movie, The (1995)",01-Jan-1995
Ghost (1990),01-Jan-1990
Spy Hard (1996),24-May-1996
"Close Shave, A (1995)",28-Apr-1996
Jack (1996),07-Aug-1996
Kingpin (1996),12-Jul-1996
"Nutty Professor, The (1996)",28-Jun-1996
"Very Brady Sequel, A (1996)",23-Aug-1996
My Favorite Year (1982),01-Jan-1982
"Apple Dumpling Gang, The (1975)",01-Jan-1975
Mary Poppins (1964),01-Jan-1964
Aladdin and the King of Thieves (1996),01-Jan-1996
Bob Roberts (1992),01-Jan-1992
Harold and Maude (1971),01-Jan-1971
Duck Soup (1933),01-Jan-1933
Heathers (1989),01-Jan-1989
Butch Cassidy and the Sundance Kid (1969),01-Jan-1969
Grease (1978),01-Jan-1978
Beverly Hills Ninja (1997),17-Jan-1997
"First Wives Club, The (1996)",14-Sep-1996
Matilda (1996),02-Aug-1996
"Philadelphia Story, The (1940)",01-Jan-1940
North by Northwest (1959),01-Jan-1959
"Apartment, The (1960)",01-Jan-1960
Some Like It Hot (1959),01-Jan-1959
Sabrina (1954),01-Jan-1954
