Crumb (1994),01-Jan-1994
Hoop Dreams (1994),01-Jan-1994
Brother Minister: The Assassination of Malcolm X (1994),01-Jan-1994
"Haunted World of Edward D. Wood Jr., The (1995)",26-Apr-1996
Maya Lin: A Strong Clear Vision (1994),01-Jan-1994
Paradise Lost: The Child Murders at Robin Hood Hills (1996),06-Dec-1996
Wonderland (1997),01-Jan-1997
Microcosmos: Le peuple de l'herbe (1996),11-Oct-1996
"Thin Blue Line, The (1988)",01-Jan-1988
Paris Is Burning (1990),01-Jan-1990
Fire on the Mountain (1996),24-Jan-1997
"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",01-Jan-1993
Across the Sea of Time (1995),01-Jan-1995
Man of the Year (1995),01-Mar-1996
Thirty-Two Short Films About Glenn Gould (1993),01-Jan-1993
"Celluloid Closet, The (1995)",15-Mar-1996
"Great Day in Harlem, A (1994)",01-Jan-1994
Looking for Richard (1996),11-Oct-1996
"Perfect Candidate, A (1996)",27-Sep-1996
Paris Was a Woman (1995),08-Nov-1996
Year of the Horse (1997),01-Jan-1997
Unzipped (1995),01-Jan-1995
Grateful Dead (1995),18-Oct-1996
"Fast, Cheap & Out of Control (1997)",01-Jan-1997
Koyaanisqatsi (1983),01-Jan-1983
Anne Frank Remembered (1995),23-Feb-1996
Heidi Fleiss: Hollywood Madam (1995) ,09-Feb-1996
Jupiter's Wife (1994),09-Feb-1996
"War Room, The (1993)",01-Jan-1993
When We Were Kings (1996),14-Feb-1997
"Endless Summer 2, The (1994)",01-Jan-1994
Marlene Dietrich: Shadow and Light (1996) ,02-Apr-1996
Madonna: Truth or Dare (1991),01-Jan-1991
Ayn Rand: A Sense of Life (1997),13-Feb-1998
Carmen Miranda: Bananas Is My Business (1994),01-Jan-1994
Catwalk (1995),07-Jun-1996
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1995)",01-Jan-1995
"Leopard Son, The (1996)",27-Sep-1996
JLG/JLG - autoportrait de décembre (1994),01-Jan-1994
Rhyme & Reason (1997),05-Mar-1997
"Gate of Heavenly Peace, The (1995)",10-May-1996
"Line King: Al Hirschfeld, The (1996)",11-Oct-1996
"Show, The (1995)",01-Jan-1995
Tigrero: A Film That Was Never Made (1994),01-Jan-1994
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",01-Jan-1993
American Dream (1990),01-Jan-1990
Everest (1998),10-Mar-1998
Nico Icon (1995),01-Jan-1995
Dadetown (1995),18-Sep-1996
"Big One, The (1997)",27-Mar-1998
