Get Shorty (1995),01-Jan-1995
Copycat (1995),01-Jan-1995
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995
Twelve Monkeys (1995),01-Jan-1995
Babe (1995),01-Jan-1995
Dead Man Walking (1995),01-Jan-1995
Richard III (1995),22-Jan-1996
"Postino, Il (1994)",01-Jan-1994
Mr. Holland's Opus (1995),29-Jan-1996
"White Balloon, The (1995)",01-Jan-1995
Antonia's Line (1995),01-Jan-1995
Angels and Insects (1995),01-Jan-1995
Braveheart (1995),16-Feb-1996
Taxi Driver (1976),16-Feb-1996
Apollo 13 (1995),01-Jan-1995
Belle de jour (1967),01-Jan-1967
Crimson Tide (1995),01-Jan-1995
"Doom Generation, The (1995)",01-Jan-1995
Free Willy 2: The Adventure Home (1995),01-Jan-1995
Mad Love (1995),01-Jan-1995
Nadja (1994),01-Jan-1994
Disclosure (1994),01-Jan-1994
Dolores Claiborne (1994),01-Jan-1994
Eat Drink Man Woman (1994),01-Jan-1994
Exotica (1994),01-Jan-1994
Ed Wood (1994),01-Jan-1994
Legends of the Fall (1994),01-Jan-1994
"Madness of King George, The (1994)",01-Jan-1994
Outbreak (1995),01-Jan-1995
"Professional, The (1994)",01-Jan-1994
Pulp Fiction (1994),01-Jan-1994
Priest (1994),01-Jan-1994
Quiz Show (1994),01-Jan-1994
Three Colors: Red (1994),01-Jan-1994
Three Colors: Blue (1993),01-Jan-1993
Three Colors: White (1994),01-Jan-1994
"Shawshank Redemption, The (1994)",01-Jan-1994
What's Eating Gilbert Grape (1993),01-Jan-1993
Faster Pussycat! Kill! Kill! (1965),01-Jan-1965
Carlito's Way (1993),01-Jan-1993
"Firm, The (1993)",01-Jan-1993
Free Willy (1993),01-Jan-1993
"Remains of the Day, The (1993)",01-Jan-1993
Searching for Bobby Fischer (1993),01-Jan-1993
Welcome to the Dollhouse (1995),24-May-1996
Dances with Wolves (1990),01-Jan-1990
"Silence of the Lambs, The (1991)",01-Jan-1991
Fargo (1996),14-Feb-1997
Diabolique (1996),01-Jan-1996
Moll Flanders (1996),14-Jun-1996
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19-Apr-1996
Lone Star (1996),21-Jun-1996
Phenomenon (1996),29-Jun-1996
"Spitfire Grill, The (1996)",06-Sep-1996
"Godfather, The (1972)",01-Jan-1972
Bound (1996),04-Oct-1996
Breakfast at Tiffany's (1961),01-Jan-1961
"Wizard of Oz, The (1939)",01-Jan-1939
Gone with the Wind (1939),01-Jan-1939
Citizen Kane (1941),01-Jan-1941
2001: A Space Odyssey (1968),01-Jan-1968
Mr. Smith Goes to Washington (1939),01-Jan-1939
Big Night (1996),20-Sep-1996
Unhook the Stars (1996),30-Oct-1996
Jude (1996),01-Nov-1996
Swingers (1996),18-Oct-1996
Platoon (1986),01-Jan-1986
Glengarry Glen Ross (1992),01-Jan-1992
On Golden Pond (1981),01-Jan-1981
Jean de Florette (1986),01-Jan-1986
Manon of the Spring (Manon des sources) (1986),01-Jan-1986
Cinema Paradiso (1988),01-Jan-1988
"Empire Strikes Back, The (1980)",01-Jan-1980
12 Angry Men (1957),01-Jan-1957
Apocalypse Now (1979),01-Jan-1979
GoodFellas (1990),01-Jan-1990
"Godfather: Part II, The (1974)",01-Jan-1974
Full Metal Jacket (1987),01-Jan-1987
Henry V (1989),01-Jan-1989
Amadeus (1984),01-Jan-1984
Raging Bull (1980),01-Jan-1980
"Right Stuff, The (1983)",01-Jan-1983
Dead Poets Society (1989),01-Jan-1989
"Graduate, The (1967)",01-Jan-1967
"Bridge on the River Kwai, The (1957)",01-Jan-1957
Patton (1970),01-Jan-1970
Cyrano de Bergerac (1990),01-Jan-1990
This Is Spinal Tap (1984),01-Jan-1984
"Unbearable Lightness of Being, The (1988)",01-Jan-1988
"Room with a View, A (1986)",01-Jan-1986
Pink Floyd - The Wall (1982),01-Jan-1982
Field of Dreams (1989),01-Jan-1989
Breaking the Waves (1996),15-Nov-1996
Sling Blade (1996),22-Nov-1996
Ridicule (1996),27-Nov-1996
Citizen Ruth (1996),13-Dec-1996
Jerry Maguire (1996),13-Dec-1996
Sneakers (1992),01-Jan-1992
Smilla's Sense of Snow (1997),14-Mar-1997
"Devil's Own, The (1997)",26-Mar-1997
Chasing Amy (1997),01-Jan-1997
"Pillow Book, The (1995)",13-Jun-1997
Contact (1997),11-Jul-1997
In the Company of Men (1997),01-Aug-1997
Chasing Amy (1997),01-Jan-1997
Gattaca (1997),01-Jan-1997
Good Will Hunting (1997),01-Jan-1997
Sense and Sensibility (1995),01-Jan-1995
Leaving Las Vegas (1995),01-Jan-1995
Restoration (1995),01-Jan-1995
Bed of Roses (1996),01-Jan-1996
Once Upon a Time... When We Were Colored (1995),01-Jan-1995
Up Close and Personal (1996),01-Mar-1996
"Time to Kill, A (1996)",13-Jul-1996
Emma (1996),02-Aug-1996
Secrets & Lies (1996),04-Oct-1996
"English Patient, The (1996)",15-Nov-1996
Marvin's Room (1996),18-Dec-1996
Evita (1996),25-Dec-1996
Rosewood (1997),21-Feb-1997
Donnie Brasco (1997),28-Feb-1997
"Promesse, La (1996)",16-May-1997
Ulee's Gold (1997),01-Jan-1997
Hoodlum (1997),22-Aug-1997
Ulee's Gold (1997),01-Jan-1997
"Ice Storm, The (1997)",01-Jan-1997
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",01-Jan-1997
FairyTale: A True Story (1997),01-Jan-1997
"Rainmaker, The (1997)",01-Jan-1997
"Wings of the Dove, The (1997)",01-Jan-1997
Midnight in the Garden of Good and Evil (1997),01-Jan-1997
Titanic (1997),01-Jan-1997
Apt Pupil (1998),23-Oct-1998
As Good As It Gets (1997),23-Dec-1997
In the Name of the Father (1993),01-Jan-1993
Schindler's List (1993),01-Jan-1993
Crash (1996),21-Mar-1997
G.I. Jane (1997),01-Jan-1997
Cop Land (1997),01-Jan-1997
Desperate Measures (1998),30-Jan-1998
187 (1997),01-Jan-1997
Kiss the Girls (1997),01-Jan-1997
"House of Yes, The (1997)",01-Jan-1997
Mad City (1997),01-Jan-1997
Boogie Nights (1997),01-Jan-1997
"Apostle, The (1997)",18-Dec-1997
Deconstructing Harry (1997),01-Jan-1997
Jackie Brown (1997),01-Jan-1997
Wag the Dog (1997),09-Jan-1998
Desperate Measures (1998),30-Jan-1998
"Client, The (1994)",01-Jan-1994
One Flew Over the Cuckoo's Nest (1975),01-Jan-1975
Powder (1995),01-Jan-1995
Dangerous Minds (1995),01-Jan-1995
Mary Reilly (1996),23-Feb-1996
"Bridges of Madison County, The (1995)",09-Feb-1996
Showgirls (1995),01-Jan-1995
Miracle on 34th Street (1994),01-Jan-1994
"Adventures of Priscilla, Queen of the Desert, The (1994)",01-Jan-1994
