"Mask, The (1994)",01-Jan-1994
"20,000 Leagues Under the Sea (1954)",01-Jan-1954
FairyTale: A True Story (1997),01-Jan-1997
"Nutty Professor, The (1996)",28-Jun-1996
E.T. the Extra-Terrestrial (1982),01-Jan-1982
Dragonheart (1996),31-May-1996
"NeverEnding Story III, The (1994)",02-Feb-1996
Heavenly Creatures (1994),01-Jan-1994
"Kid in King Arthur's Court, A (1995)",01-Jan-1995
Jumanji (1995),01-Jan-1995
Space Jam (1996),15-Nov-1996
Bogus (1996),06-Sep-1996
Flubber (1997),01-Jan-1997
"Indian in the Cupboard, The (1995)",01-Jan-1995
Drop Dead Fred (1991),01-Jan-1991
"Pagemaster, The (1994)",01-Jan-1994
Escape to Witch Mountain (1975),01-Jan-1975
"Simple Wish, A (1997)",11-Jul-1997
Star Kid (1997),16-Jan-1998
Kazaam (1996),17-Jul-1996
"Hungarian Fairy Tale, A (1987)",01-Jan-1987
Warriors of Virtue (1997),02-May-1997
