Blade Runner (1982),01-Jan-1982
Hoodlum (1997),22-Aug-1997
L.A. Confidential (1997),01-Jan-1997
"Maltese Falcon, The (1941)",01-Jan-1941
Sunset Blvd. (1950),01-Jan-1950
Notorious (1946),01-Jan-1946
"Big Sleep, The (1946)",01-Jan-1946
Laura (1944),01-Jan-1944
"Grifters, The (1990)",01-Jan-1990
Touch of Evil (1958),01-Jan-1958
Chinatown (1974),01-Jan-1974
M (1931),01-Jan-1931
"Manchurian Candidate, The (1962)",01-Jan-1962
Cape Fear (1962),01-Jan-1962
Dark City (1998),09-Jan-1998
Devil in a Blue Dress (1995),01-Jan-1995
Mulholland Falls (1996),26-Apr-1996
"Murder, My Sweet (1944)",01-Jan-1944
Crossfire (1947),01-Jan-1947
Palmetto (1998),20-Feb-1998
Suture (1993),01-Jan-1993
Raw Deal (1948),01-Jan-1948
T-Men (1947),01-Jan-1947
He Walked by Night (1948),01-Jan-1948
