Muppet Treasure Island (1996),16-Feb-1996
"Lion King, The (1994)",01-Jan-1994
"Nightmare Before Christmas, The (1993)",01-Jan-1993
Aladdin (1992),01-Jan-1992
Snow White and the Seven Dwarfs (1937),01-Jan-1937
All Dogs Go to Heaven 2 (1996),29-Mar-1996
"Wizard of Oz, The (1939)",01-Jan-1939
Bedknobs and Broomsticks (1971),01-Jan-1971
"Sound of Music, The (1965)",01-Jan-1965
Dirty Dancing (1987),01-Jan-1987
"Blues Brothers, The (1980)",01-Jan-1980
This Is Spinal Tap (1984),01-Jan-1984
Pink Floyd - The Wall (1982),01-Jan-1982
Evita (1996),25-Dec-1996
Everyone Says I Love You (1996),06-Dec-1996
Spice World (1997),01-Jan-1997
Blues Brothers 2000 (1998),06-Feb-1998
Cinderella (1950),01-Jan-1950
Mary Poppins (1964),01-Jan-1964
Alice in Wonderland (1951),01-Jan-1951
Fantasia (1940),01-Jan-1940
Grease (1978),01-Jan-1978
James and the Giant Peach (1996),12-Apr-1996
My Fair Lady (1964),01-Jan-1964
Dumbo (1941),01-Jan-1941
Anastasia (1997),01-Jan-1997
Pocahontas (1995),01-Jan-1995
"Misérables, Les (1995)",01-Jan-1995
Farinelli: il castrato (1994),01-Jan-1994
Beauty and the Beast (1991),01-Jan-1991
"Hunchback of Notre Dame, The (1996)",21-Jun-1996
"American in Paris, An (1951)",01-Jan-1951
Meet Me in St. Louis (1944),01-Jan-1944
Gigi (1958),01-Jan-1958
"Three Caballeros, The (1945)",01-Jan-1945
Victor/Victoria (1982),01-Jan-1982
"Great Race, The (1965)",01-Jan-1965
Singin' in the Rain (1952),01-Jan-1952
"Gay Divorcee, The (1934)",01-Jan-1934
Funny Face (1957),01-Jan-1957
"Inspector General, The (1949)",01-Jan-1949
Cats Don't Dance (1997),26-Mar-1997
Hercules (1997),27-Jun-1997
Grease 2 (1982),01-Jan-1982
Joe's Apartment (1996),26-Jul-1996
Pete's Dragon (1977),01-Jan-1977
Tank Girl (1995),01-Jan-1995
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",05-Apr-1996
"Doors, The (1991)",01-Jan-1991
Backbeat (1993),01-Jan-1993
Top Hat (1935),01-Jan-1935
Selena (1997),21-Mar-1997
Shall We Dance? (1937),01-Jan-1937
"Band Wagon, The (1953)",01-Jan-1953
"Damsel in Distress, A (1937)",01-Jan-1937
Madame Butterfly (1995),20-Sep-1996
