"Postino, Il (1994)",01-Jan-1994
French Twist (Gazon maudit) (1995),01-Jan-1995
Angels and Insects (1995),01-Jan-1995
Desperado (1995),01-Jan-1995
Mad Love (1995),01-Jan-1995
I.Q. (1994),01-Jan-1994
Star Wars (1977),01-Jan-1977
Legends of the Fall (1994),01-Jan-1994
"Professional, The (1994)",01-Jan-1994
While You Were Sleeping (1995),01-Jan-1995
"Crow, The (1994)",01-Jan-1994
Forrest Gump (1994),01-Jan-1994
Four Weddings and a Funeral (1994),01-Jan-1994
"Hudsucker Proxy, The (1994)",01-Jan-1994
Much Ado About Nothing (1993),01-Jan-1993
Sleepless in Seattle (1993),01-Jan-1993
So I Married an Axe Murderer (1993),01-Jan-1993
True Romance (1993),01-Jan-1993
"Truth About Cats & Dogs, The (1996)",26-Apr-1996
Phenomenon (1996),29-Jun-1996
Bound (1996),04-Oct-1996
Breakfast at Tiffany's (1961),01-Jan-1961
Gone with the Wind (1939),01-Jan-1939
Dirty Dancing (1987),01-Jan-1987
Top Gun (1986),01-Jan-1986
Cinema Paradiso (1988),01-Jan-1988
"Empire Strikes Back, The (1980)",01-Jan-1980
"Princess Bride, The (1987)",01-Jan-1987
Return of the Jedi (1983),14-Mar-1997
Psycho (1960),01-Jan-1960
"Graduate, The (1967)",01-Jan-1967
Groundhog Day (1993),01-Jan-1993
Cyrano de Bergerac (1990),01-Jan-1990
"Room with a View, A (1986)",01-Jan-1986
When Harry Met Sally... (1989),01-Jan-1989
Bram Stoker's Dracula (1992),01-Jan-1992
"Mirror Has Two Faces, The (1996)",15-Nov-1996
Jerry Maguire (1996),13-Dec-1996
"Last of the Mohicans, The (1992)",01-Jan-1992
Chasing Amy (1997),01-Jan-1997
"Pillow Book, The (1995)",13-Jun-1997
My Best Friend's Wedding (1997),20-Jun-1997
When the Cats Away (Chacun cherche son chat) (1996),20-Jun-1997
Chasing Amy (1997),01-Jan-1997
Sabrina (1995),01-Jan-1995
Sense and Sensibility (1995),01-Jan-1995
Leaving Las Vegas (1995),01-Jan-1995
Bed of Roses (1996),01-Jan-1996
Up Close and Personal (1996),01-Mar-1996
Emma (1996),02-Aug-1996
Tin Cup (1996),16-Aug-1996
"English Patient, The (1996)",15-Nov-1996
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",01-Jan-1997
"Wings of the Dove, The (1997)",01-Jan-1997
Titanic (1997),01-Jan-1997
Everyone Says I Love You (1996),06-Dec-1996
Conspiracy Theory (1997),08-Aug-1997
"Wedding Singer, The (1998)",13-Feb-1998
"Bridges of Madison County, The (1995)",09-Feb-1996
Muriel's Wedding (1994),01-Jan-1994
True Lies (1994),01-Jan-1994
Radioland Murders (1994),01-Jan-1994
Ghost (1990),01-Jan-1990
"Nutty Professor, The (1996)",28-Jun-1996
William Shakespeare's Romeo and Juliet (1996),25-Oct-1996
Grease (1978),01-Jan-1978
Like Water For Chocolate (Como agua para chocolate) (1992),01-Jan-1992
"Jungle Book, The (1994)",01-Jan-1994
"Philadelphia Story, The (1940)",01-Jan-1940
Casablanca (1942),01-Jan-1942
My Fair Lady (1964),01-Jan-1964
Sabrina (1954),01-Jan-1954
Roman Holiday (1953),01-Jan-1953
Notorious (1946),01-Jan-1946
To Catch a Thief (1955),01-Jan-1955
"African Queen, The (1951)",01-Jan-1951
Wings of Desire (1987),01-Jan-1987
Annie Hall (1977),01-Jan-1977
Manhattan (1979),01-Jan-1979
Shine (1996),22-Nov-1996
Kama Sutra: A Tale of Love (1996),07-Mar-1997
Addicted to Love (1997),23-May-1997
Pocahontas (1995),01-Jan-1995
Things to Do in Denver when You're Dead (1995),02-Feb-1996
Vampire in Brooklyn (1995),01-Jan-1995
Rob Roy (1995),01-Jan-1995
"Walk in the Clouds, A (1995)",01-Jan-1995
"Kid in King Arthur's Court, A (1995)",01-Jan-1995
Speed (1994),01-Jan-1994
Boxing Helena (1993),01-Jan-1993
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",01-Jan-1995
"Piano, The (1993)",01-Jan-1993
Heavy (1995),05-Jun-1996
"American in Paris, An (1951)",01-Jan-1951
Rebecca (1940),01-Jan-1940
Spellbound (1945),01-Jan-1945
"Crying Game, The (1992)",01-Jan-1992
The Innocent (1994),01-Jan-1994
"Quiet Man, The (1952)",01-Jan-1952
Somewhere in Time (1980),01-Jan-1980
"American President, The (1995)",01-Jan-1995
Persuasion (1995),25-Sep-1995
Barcelona (1994),01-Jan-1994
"House of the Spirits, The (1993)",01-Jan-1993
Singin' in the Rain (1952),01-Jan-1952
Strictly Ballroom (1992),01-Jan-1992
Carrington (1995),01-Jan-1995
Home for the Holidays (1995),01-Jan-1995
First Knight (1995),01-Jan-1995
Circle of Friends (1995),01-Jan-1995
Immortal Beloved (1994),01-Jan-1994
"Queen Margot (Reine Margot, La) (1994)",01-Jan-1996
"Corrina, Corrina (1994)",01-Jan-1994
Dave (1993),01-Jan-1993
Go Fish (1994),01-Jan-1994
Shadowlands (1993),01-Jan-1993
Threesome (1994),01-Jan-1994
Pretty Woman (1990),01-Jan-1990
Jane Eyre (1996),05-Apr-1996
Benny & Joon (1993),01-Jan-1993
"Saint, The (1997)",14-Mar-1997
"MatchMaker, The (1997)",01-Jan-1997
Tomorrow Never Dies (1997),01-Jan-1997
If Lucy Fell (1996),08-Mar-1996
Boomerang (1992),01-Jan-1992
Something to Talk About (1995),01-Jan-1995
Don Juan DeMarco (1995),01-Jan-1995
French Kiss (1995),01-Jan-1995
Milk Money (1994),01-Jan-1994
Only You (1994),01-Jan-1994
"Perez Family, The (1995)",01-Jan-1995
It Could Happen to You (1994),01-Jan-1994
Speechless (1994),01-Jan-1994
One Fine Day (1996),30-Nov-1996
Mrs. Winterbourne (1996),19-Apr-1996
"Gay Divorcee, The (1934)",01-Jan-1934
Ninotchka (1939),01-Jan-1939
To Gillian on Her 37th Birthday (1996),18-Oct-1996
Days of Thunder (1990),01-Jan-1990
Diva (1981),01-Jan-1981
Michael (1996),25-Dec-1996
Fools Rush In (1997),14-Feb-1997
Touch (1997),14-Feb-1997
Love Jones (1997),14-Mar-1997
Picture Perfect (1997),01-Aug-1997
She's So Lovely (1997),22-Aug-1997
Excess Baggage (1997),01-Jan-1997
"Life Less Ordinary, A (1997)",01-Jan-1997
"Tango Lesson, The (1997)",01-Jan-1997
Afterglow (1997),26-Dec-1997
Great Expectations (1998),01-Jan-1998
Oscar & Lucinda (1997),31-Dec-1997
City of Angels (1998),03-Apr-1998
Farewell My Concubine (1993),01-Jan-1993
Brassed Off (1996),13-Jun-1997
"Smile Like Yours, A (1997)",01-Jan-1997
Charade (1963),01-Jan-1963
"Big Blue, The (Grand bleu, Le) (1988)",01-Jan-1988
Booty Call (1997),28-Feb-1997
How to Make an American Quilt (1995),01-Jan-1995
Before Sunrise (1995),01-Jan-1995
"Affair to Remember, An (1957)",01-Jan-1957
"Beautician and the Beast, The (1997)",07-Feb-1997
Anna Karenina (1997),04-Apr-1997
Mrs. Dalloway (1997),01-Jan-1997
Grumpier Old Men (1995),01-Jan-1995
Grease 2 (1982),01-Jan-1982
Two if by Sea (1996),01-Jan-1996
Forget Paris (1995),01-Jan-1995
She's the One (1996),23-Aug-1996
"Ghost and Mrs. Muir, The (1947)",01-Jan-1947
"Pyromaniac's Love Story, A (1995)",01-Jan-1995
Carried Away (1996),29-Mar-1996
Speed 2: Cruise Control (1997),13-Jun-1997
Commandments (1997),02-May-1997
What Happened Was... (1994),01-Jan-1994
Two Much (1996),01-Jan-1996
Twelfth Night (1996),25-Oct-1996
Some Kind of Wonderful (1987),01-Jan-1987
