GoldenEye (1995),01-Jan-1995
Four Rooms (1995),01-Jan-1995
Copycat (1995),01-Jan-1995
Seven (Se7en) (1995),01-Jan-1995
"Usual Suspects, The (1995)",14-Aug-1995
From Dusk Till Dawn (1996),05-Feb-1996
Muppet Treasure Island (1996),16-Feb-1996
Taxi Driver (1976),16-Feb-1996
Apollo 13 (1995),01-Jan-1995
Crimson Tide (1995),01-Jan-1995
Desperado (1995),01-Jan-1995
"Net, The (1995)",01-Jan-1995
Disclosure (1994),01-Jan-1994
Dolores Claiborne (1994),01-Jan-1994
Natural Born Killers (1994),01-Jan-1994
Outbreak (1995),01-Jan-1995
"Professional, The (1994)",01-Jan-1994
"Crow, The (1994)",01-Jan-1994
"Firm, The (1993)",01-Jan-1993
"Fugitive, The (1993)",01-Jan-1993
So I Married an Axe Murderer (1993),01-Jan-1993
Terminator 2: Judgment Day (1991),01-Jan-1991
"Silence of the Lambs, The (1991)",01-Jan-1991
Fargo (1996),14-Feb-1997
Diabolique (1996),01-Jan-1996
"Rock, The (1996)",07-Jun-1996
Twister (1996),10-May-1996
Supercop (1992),26-Jul-1996
Bound (1996),04-Oct-1996
2001: A Space Odyssey (1968),01-Jan-1968
Die Hard (1988),01-Jan-1988
"Lawnmower Man, The (1992)",01-Jan-1992
"Long Kiss Goodnight, The (1996)",05-Oct-1996
Reservoir Dogs (1992),01-Jan-1992
Basic Instinct (1992),01-Jan-1992
"Abyss, The (1989)",01-Jan-1989
Aliens (1986),01-Jan-1986
Alien (1979),01-Jan-1979
Psycho (1960),01-Jan-1960
"Terminator, The (1984)",01-Jan-1984
Nikita (La Femme Nikita) (1990),01-Jan-1990
Akira (1988),01-Jan-1988
Cape Fear (1991),01-Jan-1991
Sling Blade (1996),22-Nov-1996
Die Hard 2 (1990),01-Jan-1990
Smilla's Sense of Snow (1997),14-Mar-1997
"Devil's Own, The (1997)",26-Mar-1997
"Lost World: Jurassic Park, The (1997)",23-May-1997
Event Horizon (1997),01-Jan-1997
Mimic (1997),22-Aug-1997
"Hunt for Red October, The (1990)",01-Jan-1990
Gattaca (1997),01-Jan-1997
Heat (1995),01-Jan-1995
"River Wild, The (1994)",01-Jan-1994
Scream (1996),20-Dec-1996
Absolute Power (1997),14-Feb-1997
Breakdown (1997),02-May-1997
Face/Off (1997),27-Jun-1997
Air Force One (1997),01-Jan-1997
L.A. Confidential (1997),01-Jan-1997
"Devil's Advocate, The (1997)",01-Jan-1997
"Wings of the Dove, The (1997)",01-Jan-1997
Apt Pupil (1998),23-Oct-1998
Murder at 1600 (1997),18-Apr-1997
Dante's Peak (1997),07-Feb-1997
Crash (1996),21-Mar-1997
Conspiracy Theory (1997),08-Aug-1997
Desperate Measures (1998),30-Jan-1998
"Edge, The (1997)",26-Sep-1997
Kiss the Girls (1997),01-Jan-1997
"Game, The (1997)",01-Jan-1997
Playing God (1997),01-Jan-1997
"House of Yes, The (1997)",01-Jan-1997
Desperate Measures (1998),30-Jan-1998
Hard Rain (1998),16-Jan-1998
Fallen (1998),16-Jan-1998
Sphere (1998),13-Feb-1998
"Client, The (1994)",01-Jan-1994
Spawn (1997),01-Aug-1997
"Assignment, The (1997)",01-Jan-1997
Incognito (1997),01-Jan-1997
Mary Reilly (1996),23-Feb-1996
Ghost (1990),01-Jan-1990
Thinner (1996),25-Oct-1996
"Close Shave, A (1995)",28-Apr-1996
"Transformers: The Movie, The (1986)",01-Jan-1986
Red Rock West (1992),01-Jan-1992
Vertigo (1958),01-Jan-1958
North by Northwest (1959),01-Jan-1959
Notorious (1946),01-Jan-1946
To Catch a Thief (1955),01-Jan-1955
Dial M for Murder (1954),01-Jan-1954
"Third Man, The (1949)",01-Jan-1949
Broken Arrow (1996),09-Feb-1996
Die Hard: With a Vengeance (1995),01-Jan-1995
Heavenly Creatures (1994),01-Jan-1994
Village of the Damned (1995),01-Jan-1995
Clear and Present Danger (1994),01-Jan-1994
Speed (1994),01-Jan-1994
Another Stakeout (1993),01-Jan-1993
Blown Away (1994),01-Jan-1994
Body Snatchers (1993),01-Jan-1993
Boxing Helena (1993),01-Jan-1993
Kalifornia (1993),01-Jan-1993
Romeo Is Bleeding (1993),01-Jan-1993
Primal Fear (1996),30-Mar-1996
True Crime (1995),01-Jan-1995
"Fan, The (1996)",16-Aug-1996
Eraser (1996),21-Jun-1996
Rear Window (1954),01-Jan-1954
Rebecca (1940),01-Jan-1940
