Richard III (1995),22-Jan-1996
Braveheart (1995),16-Feb-1996
Crimson Tide (1995),01-Jan-1995
Star Wars (1977),01-Jan-1977
Legends of the Fall (1994),01-Jan-1994
Forrest Gump (1994),01-Jan-1994
Hot Shots! Part Deux (1993),01-Jan-1993
Operation Dumbo Drop (1995),01-Jan-1995
Independence Day (ID4) (1996),03-Jul-1996
Gone with the Wind (1939),01-Jan-1939
Platoon (1986),01-Jan-1986
"Empire Strikes Back, The (1980)",01-Jan-1980
Aliens (1986),01-Jan-1986
Apocalypse Now (1979),01-Jan-1979
Return of the Jedi (1983),14-Mar-1997
Full Metal Jacket (1987),01-Jan-1987
Henry V (1989),01-Jan-1989
"Bridge on the River Kwai, The (1957)",01-Jan-1957
Patton (1970),01-Jan-1970
M*A*S*H (1970),01-Jan-1970
Pink Floyd - The Wall (1982),01-Jan-1982
Mars Attacks! (1996),13-Dec-1996
"Last of the Mohicans, The (1992)",01-Jan-1992
"Devil's Own, The (1997)",26-Mar-1997
Starship Troopers (1997),01-Jan-1997
"English Patient, The (1996)",15-Nov-1996
Schindler's List (1993),01-Jan-1993
G.I. Jane (1997),01-Jan-1997
"Transformers: The Movie, The (1986)",01-Jan-1986
Duck Soup (1933),01-Jan-1933
Courage Under Fire (1996),08-Mar-1996
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),01-Jan-1963
Casablanca (1942),01-Jan-1942
"African Queen, The (1951)",01-Jan-1951
Bananas (1971),01-Jan-1971
Lawrence of Arabia (1962),01-Jan-1962
"Boot, Das (1981)",04-Apr-1997
"Great Escape, The (1963)",01-Jan-1963
"Deer Hunter, The (1978)",01-Jan-1978
"Killing Fields, The (1984)",01-Jan-1984
Rob Roy (1995),01-Jan-1995
Stalingrad (1993),01-Jan-1993
For Whom the Bell Tolls (1943),01-Jan-1943
"Crying Game, The (1992)",01-Jan-1992
Paths of Glory (1957),01-Jan-1957
Ran (1985),01-Jan-1985
Glory (1989),01-Jan-1989
McHale's Navy (1997),18-Apr-1997
Seven Years in Tibet (1997),01-Jan-1997
Canadian Bacon (1994),01-Jan-1994
Michael Collins (1996),11-Oct-1996
Heaven & Earth (1993),01-Jan-1993
"Peacemaker, The (1997)",01-Jan-1997
Bent (1997),18-Dec-1997
Paradise Road (1997),18-Apr-1997
Renaissance Man (1994),01-Jan-1994
Mediterraneo (1991),01-Jan-1991
Koyaanisqatsi (1983),01-Jan-1983
"Farewell to Arms, A (1932)",01-Jan-1932
In Love and War (1996),24-Jan-1997
Welcome To Sarajevo (1997),01-Jan-1997
In the Army Now (1994),01-Jan-1994
To Be or Not to Be (1942),01-Jan-1942
For the Moment (1994),01-Jan-1994
"Walking Dead, The (1995)",01-Jan-1995
"Colonel Chabert, Le (1994)",01-Jan-1994
Prisoner of the Mountains (Kavkazsky Plennik) (1996),31-Jan-1997
Underground (1995),29-Mar-1996
Pharaoh's Army (1995),01-Jan-1995
Land and Freedom (Tierra y libertad) (1995),29-Mar-1996
Nothing Personal (1995),30-Apr-1997
